tip,day
1.01,Fair
1.66,Fair
3.5,Fair
3.31,Fair
3.61,Fair
4.71,Fair
2,Fair
3.12,Fair
1.96,Fair
3.23,Fair
1.71,Fair
5,Fair
1.57,Fair
3,Fair
3.02,Fair
3.92,Fair
1.67,Fair
3.71,Fair
3.5,Fair
3.35,Good
4.08,Good
2.75,Good
2.23,Good
7.58,Good
3.18,Good
2.34,Good
2,Good
2,Good
4.3,Good
3,Good
1.45,Good
2.5,Good
3,Good
2.45,Good
3.27,Good
3.6,Good
2,Good
3.07,Good
2.31,Good
5,Good
2.24,Good
2.54,Fair
3.06,Fair
1.32,Fair
5.6,Fair
3,Fair
5,Fair
6,Fair
2.05,Fair
3,Fair
2.5,Fair
2.6,Fair
5.2,Fair
1.56,Fair
4.34,Fair
3.51,Fair
3,Good
1.5,Good
1.76,Good
6.73,Good
3.21,Good
2,Good
1.98,Good
3.76,Good
2.64,Good
3.15,Good
2.47,Good
1,Good
2.01,Good
2.09,Good
1.97,Good
3,Good
3.14,Good
5,Good
2.2,Good
1.25,Good
3.08,Good
4,Premium
3,Premium
2.71,Premium
3,Premium
3.4,Premium
1.83,Premium
5,Premium
2.03,Premium
5.17,Premium
2,Premium
4,Premium
5.85,Premium
3,Premium
3,Very Good
3.5,Very Good
1,Very Good
4.3,Very Good
3.25,Very Good
4.73,Very Good
4,Very Good
1.5,Very Good
3,Very Good
1.5,Very Good
2.5,Very Good
3,Very Good
2.5,Good
3.48,Good
4.08,Good
1.64,Good
4.06,Good
4.29,Good
3.76,Good
4,Good
3,Good
1,Good
4,Fair
2.55,Fair
4,Fair
3.5,Fair
5.07,Fair
1.5,Premium
1.8,Premium
2.92,Premium
2.31,Premium
1.68,Premium
2.5,Premium
2,Premium
2.52,Premium
4.2,Premium
1.48,Premium
2,Premium
2,Premium
2.18,Premium
1.5,Premium
2.83,Premium
1.5,Premium
2,Premium
3.25,Premium
1.25,Premium
2,Premium
2,Premium
2,Premium
2.75,Premium
3.5,Premium
6.7,Premium
5,Premium
5,Premium
2.3,Premium
1.5,Premium
1.36,Premium
1.63,Premium
1.73,Premium
2,Premium
2.5,Fair
2,Fair
2.74,Fair
2,Fair
2,Fair
5.14,Fair
5,Fair
3.75,Fair
2.61,Fair
2,Fair
3.5,Fair
2.5,Fair
2,Fair
2,Fair
3,Fair
3.48,Fair
2.24,Fair
4.5,Fair
1.61,Good
2,Good
10,Good
3.16,Good
5.15,Fair
3.18,Fair
4,Fair
3.11,Fair
2,Fair
2,Fair
4,Fair
3.55,Fair
3.68,Fair
5.65,Fair
3.5,Fair
6.5,Fair
3,Fair
5,Fair
3.5,Fair
2,Fair
3.5,Fair
4,Fair
1.5,Fair
4.19,Premium
2.56,Premium
2.02,Premium
4,Premium
1.44,Premium
2,Premium
5,Premium
2,Premium
2,Premium
4,Premium
2.01,Premium
2,Premium
2.5,Premium
4,Premium
3.23,Premium
3.41,Good
3,Good
2.03,Good
2.23,Good
2,Good
5.16,Good
9,Good
2.5,Good
6.5,Good
1.1,Good
3,Good
1.5,Good
1.44,Good
3.09,Good
2.2,Very Good
3.48,Very Good
1.92,Very Good
3,Very Good
1.58,Very Good
2.5,Very Good
2,Very Good
3,Good
2.72,Good
2.88,Good
2,Good
3,Good
3.39,Good
1.47,Good
3,Good
1.25,Good
1,Good
1.17,Good
4.67,Good
5.92,Good
2,Good
2,Good
1.75,Good
3,Premium
